identificatie,rank,suitability_score
NL.IMBAG.Pand.0363100012202822,1,60.00000000000001
NL.IMBAG.Pand.0363100012104146,2,60.00000000000001
NL.IMBAG.Pand.0363100012246986,3,60.00000000000001
NL.IMBAG.Pand.0362100000904532,4,60.00000000000001
NL.IMBAG.Pand.0363100012250586,5,60.00000000000001
NL.IMBAG.Pand.0363100012150131,6,59.99921950786816
NL.IMBAG.Pand.0363100012068223,7,59.99837525263938
NL.IMBAG.Pand.0363100012153334,8,59.99750679465853
NL.IMBAG.Pand.0363100012246867,9,59.99736920056083
NL.IMBAG.Pand.0363100012241496,10,59.995202125843704
NL.IMBAG.Pand.0363100012247952,11,59.99495544480242
NL.IMBAG.Pand.0363100012119347,12,59.99470332471811
NL.IMBAG.Pand.0363100012098861,13,59.99422880441797
NL.IMBAG.Pand.0363100012246498,14,59.99402630644424
NL.IMBAG.Pand.0363100012137857,15,59.993150851987394
NL.IMBAG.Pand.0363100012250629,16,59.99287669264574
NL.IMBAG.Pand.0363100012118348,17,59.99167844069822
NL.IMBAG.Pand.0363100012239607,18,59.990361543421336
NL.IMBAG.Pand.0363100012251487,19,59.99014521263367
NL.IMBAG.Pand.0363100012129107,20,59.989313146974965
NL.IMBAG.Pand.0363100012126878,21,59.988958776499636
NL.IMBAG.Pand.0363100012097440,22,59.98855829805413
NL.IMBAG.Pand.0363100012237887,23,59.98822510116242
NL.IMBAG.Pand.0363100012240477,24,59.98815558672727
NL.IMBAG.Pand.0363100012165650,25,59.988153116880085
NL.IMBAG.Pand.0363100012240478,26,59.98814675984189
NL.IMBAG.Pand.0363100012105290,27,59.98786784027072
NL.IMBAG.Pand.0363100012250615,28,59.987705950529794
NL.IMBAG.Pand.0363100012097922,29,59.98643806112103
NL.IMBAG.Pand.0363100012237888,30,59.98587105338491
NL.IMBAG.Pand.0363100012242116,31,59.985840664835685
NL.IMBAG.Pand.0363100012098925,32,59.98582088620904
NL.IMBAG.Pand.0363100012088589,33,59.98578218205517
NL.IMBAG.Pand.0363100012085145,34,59.98577161243098
NL.IMBAG.Pand.0363100012237537,35,59.985705975651705
NL.IMBAG.Pand.0363100012120787,36,59.98562656467238
NL.IMBAG.Pand.0363100012061820,37,59.9837873763284
NL.IMBAG.Pand.0305100000002160,38,59.98377087104527
NL.IMBAG.Pand.0363100012244545,39,59.98338707880689
NL.IMBAG.Pand.0363100012078273,40,59.98282100256163
NL.IMBAG.Pand.0363100012149507,41,59.982813133141
NL.IMBAG.Pand.0363100012081031,42,59.98253530900812
